Signal,key,event,eventChannel,name,description,domain,interval,dataType,unitsType,displayRes
f1,s1,1,1,/Nck/!SEMA/measPos2 [u1  1],Actual value of position  encoder 2,NCU_1,0.008000000000000,double,posn,5
f2,s2,1,1,/Nck/!SEMA/measPos2 [u1  2],Actual value of position  encoder 2,NCU_1,0.008000000000000,double,posn,5
f3,s3,1,1,/Nck/!SEMA/measPos2 [u1  3],Actual value of position  encoder 2,NCU_1,0.008000000000000,double,posn,5
f4,s4,1,1,/Nck/!SEMA/measPos2 [u1  4],Actual value of position  encoder 2,NCU_1,0.008000000000000,double,posn,5
f5,s5,1,1,/Nck/!SEMA/measPos2 [u1  5],Actual value of position  encoder 2,NCU_1,0.008000000000000,double,posn,5
f6,s6,1,1,/Nck/!SEMA/measPos2 [u1  6],Actual value of position  encoder 2,NCU_1,0.008000000000000,double,posn,5
,,,,,,,,,,
time,f1\s1,f2\s2,f3\s3,f4\s4,f5\s5,f6\s6,,,,
0.000000,-16.028559000000001,2.909317000000000,20.430923000000000,0.342808000000000,66.149496999999997,14.207082000000000,,,,
0.008000,-16.032615000000000,2.910476000000000,20.429592000000000,0.342765000000000,66.149496999999997,14.210343000000000,,,,
0.016000,-16.036263000000002,2.911398000000000,20.428262000000000,0.342765000000000,66.149669000000003,14.213004000000000,,,,
0.024000,-16.038879999999999,2.912042000000000,20.427318000000000,0.342722000000000,66.149669000000003,14.215450000000001,,,,
0.032000,-16.040210999999999,2.912428000000000,20.426501999999999,0.342722000000000,66.149669000000003,14.216908999999999,,,,
0.040000,-16.041090000000001,2.912643000000000,20.426072999999999,0.342722000000000,66.149669000000003,14.217896000000000,,,,
0.048000,-16.041090000000001,2.912750000000000,20.425858000000002,0.342636000000000,66.149754999999999,14.218240000000000,,,,
0.056000,-16.040640000000000,2.912772000000000,20.425773000000000,0.342636000000000,66.149925999999994,14.218496999999999,,,,
0.064000,-16.039717000000000,2.912772000000000,20.425730000000001,0.342507000000000,66.149968999999999,14.218712000000000,,,,
0.072000,-16.038795000000000,2.912772000000000,20.425687000000000,0.342464000000000,66.150098000000000,14.218883999999999,,,,
0.080000,-16.037571000000000,2.912772000000000,20.425687000000000,0.342422000000000,66.150098000000000,14.218926000000000,,,,
0.088000,-16.036370000000002,2.912772000000000,20.425601000000000,0.342422000000000,66.150098000000000,14.218969000000000,,,,
0.096000,-16.034974999999999,2.912772000000000,20.425601000000000,0.342422000000000,66.150141000000005,14.218798000000000,,,,
0.104000,-16.033666000000000,2.912772000000000,20.425601000000000,0.342894000000000,66.150141000000005,14.217553000000001,,,,
0.112000,-16.032722000000000,2.912879000000000,20.425557999999999,0.343709000000000,66.150141000000005,14.216737999999999,,,,
0.120000,-16.032185999999999,2.913158000000000,20.425343999999999,0.344138000000000,66.150270000000006,14.216265999999999,,,,
0.128000,-16.031991999999999,2.913973000000000,20.424441999999999,0.344396000000000,66.150570000000002,14.215965000000001,,,,
0.136000,-16.031756000000001,2.915754000000000,20.422339000000001,0.344481000000000,66.151213999999996,14.215536000000000,,,,
0.144000,-16.031520000000000,2.918694000000000,20.418606000000000,0.344481000000000,66.152028999999999,14.215107000000000,,,,
0.152000,-16.030598000000001,2.923200000000000,20.412941000000000,0.344524000000000,66.152287000000001,14.214162999999999,,,,
0.160000,-16.029525000000000,2.929530000000000,20.405130000000000,0.344524000000000,66.152328999999995,14.212790000000000,,,,
0.168000,-16.028086999999999,2.937942000000000,20.395346000000000,0.344524000000000,66.152372000000000,14.210815000000000,,,,
0.176000,-16.026112999999999,2.948370000000000,20.384059000000001,0.344396000000000,66.152415000000005,14.208541000000000,,,,
0.184000,-16.023451999999999,2.960966000000000,20.371141000000001,0.344138000000000,66.152801999999994,14.205837000000001,,,,
0.192000,-16.020105000000001,2.975492000000000,20.356764999999999,0.343752000000000,66.153789000000003,14.202961999999999,,,,
0.200000,-16.016048999999999,2.991886000000000,20.340543000000000,0.343451000000000,66.155333999999996,14.199572000000000,,,,
0.208000,-16.011415000000000,3.009803000000000,20.322561000000000,0.343194000000000,66.156621000000001,14.195795000000000,,,,
0.216000,-16.006264999999999,3.029265000000000,20.302606000000001,0.343108000000000,66.157478999999995,14.191461000000000,,,,
0.224000,-16.000750000000000,3.049650000000000,20.281191000000000,0.343108000000000,66.158165999999994,14.186954000000000,,,,
0.232000,-15.995020999999999,3.070872000000000,20.259046999999999,0.343065000000000,66.158338000000001,14.182148000000000,,,,
0.240000,-15.989099000000000,3.092587000000000,20.236259000000000,0.343022000000000,66.158938000000006,14.177384000000000,,,,
0.248000,-15.983305000000000,3.114409000000000,20.213170000000002,0.342894000000000,66.160398000000001,14.172707000000001,,,,
0.256000,-15.977705000000000,3.136468000000000,20.190252999999998,0.342894000000000,66.162243000000004,14.167899999999999,,,,
0.264000,-15.972340000000001,3.158762000000000,20.167207999999999,0.342894000000000,66.163702000000001,14.162706999999999,,,,
0.272000,-15.967319000000000,3.180842000000000,20.144290999999999,0.342894000000000,66.164904000000007,14.157643000000000,,,,
0.280000,-15.962706000000001,3.202751000000000,20.121030999999999,0.342894000000000,66.166319999999999,14.152578999999999,,,,
0.288000,-15.958178000000000,3.224337000000000,20.098027999999999,0.342894000000000,66.167435999999995,14.147601000000000,,,,
0.296000,-15.954037000000000,3.245859000000000,20.075111000000000,0.342894000000000,66.168465999999995,14.142666000000000,,,,
0.304000,-15.949938000000000,3.267338000000000,20.052195000000001,0.342894000000000,66.170181999999997,14.137688000000001,,,,
